"title","negative","positive","sentiment_score"
"Міноборони: 68 тисяч жінок служать у лавах ЗСУ, з них 5 тисяч у зоні бойових дій",0,1,1
"Темники, меми, «реєстр фейків та допреальності». Як працює агенція-підрядник Кремля із дезінформації",10,19,9
"Брудна річка, булінг боксерки та «богохульське» відкриття: скандали Олімпіади",10,6,-4
"«Права людини завжди на часі» – у Києві відбувся Марш рівності на підтримку ЛГБТК+",0,1,1
"Що змінять вибори в Європейський парламент для України?",14,7,-7
"Захист прав ЛГБТК+ не на часі? Як змінився квір-активізм після початку великої війни РФ проти України",14,0,-14
"В Україні з’явиться військовий омбудсмен – Міноборони",4,1,-3
"«Я українка і я не працюю в борделі»: як українські біженки відреагували на образливий жарт шведської телеведучої",17,0,-17
"Владна партія Грузії заявила про намір обмежити права ЛГБТ",1,0,-1
"Жінки на війні: як долати «скляну стелю»",3,4,1
"Греція легалізувала одностатеві шлюби",2,0,-2
"Комісія з журналістської етики відреагувала на скаргу щодо жартів «Кварталу 95» про переселенців",4,0,-4
"Жінки в армії, політиці і владі: як змінилася гендерна ситуація в Україні",15,8,-7
"Рекрутинг замість призову: затверджено Концепцію військової кадрової політики Міноборони",1,0,-1
"У Мексиці зняли федеральну заборону на аборти",6,0,-6
"«Покоління війни»: Ігор Гордійчук про нову генерацію ЗСУ, мотивацію ліцеїстів-богунівців та сучасних героїв",20,19,-1
"Уряд Швеції ухвалив нову стратегію співпраці з Україною. Зеленський подякував за «справжню солідарність»",0,4,4
"У Дніпрі попри війну змогли організувати традиційну акцію «Ніч музеїв»",0,3,3
"Урбаністика і гендерна (не) рівність: як відбудовувати інклюзивно",6,7,1
"Зеленський привітав першу велику інвестицію в Україну з початку повномасштабного вторгнення РФ",2,8,6
"«Без захисту»: зґвалтування неповнолітньої, умовний термін, реакція правозахисників та перегляд справи",24,2,-22
"Голови МЗС Росії й Китаю не підтримали пункти про війну і ядерну зброю в декларації G20",3,0,-3
"Не хочуть бути жертвами: як війна змінює українських жінок і ставлення до них в Україні та світі",11,5,-6
"Стамбульська конвенція – не панацея проти домашнього насильства. Досвід Італії",13,6,-7
"Київ і представники понад 40 країн підписали в Лугано декларацію про відновлення України",4,2,-2
"Зеленський вніс у Раду законопроєкт про ратифікацію Стамбульської конвенції",0,2,2
"Територіальна оборона Приазов’я. Кому даватимуть зброю?",5,5,0
"«В разі мобілізації я знаю куди йти і що робити»: чотири історії українок, які мають військові квитки",11,4,-7
"Жінкам вже завтра до військкомату бігти не треба – головнокомандувач ЗСУ про наказ Міноборони",2,0,-2
"Зеленський назвав Україну «лідером демократичних перетворень»",6,5,-1
"ООН: в Україні за два роки зафіксували майже 30 інцидентів щодо журналістів та близько 20 – проти правозахисників",7,5,-2
"В ОП кажуть, що готують законопроєкт про приєднання України до Стамбульської конвенції",4,1,-3
"У день боротьби з насильством щодо жінок Україну закликали ратифікувати Стамбульську конвенцію",2,0,-2
"«Права жінок є важливими для інтеграції в НАТО»: Левченко про заяву Арахамії щодо жінки-міністра оборони",5,3,-2
"«Розумна політика»: амбіції та перспективи Дмитра Разумкова",10,9,-1
"Такі, як Оксана Линів, ламають схеми – директор Болонського театру",5,7,2
"Зварювальниця, сепараторниця та водійка великовантажної машини: історії вибору (не)жіночих професій",7,6,-1
"MediaForShe Congress: «Медіа можуть більше для гендерної рівності»",1,2,1
"Війна і жінки: трагічні наслідки для репродуктивного здоров’я",8,2,-6
"У Києві відбулася акція солідарності з жінками Афганістану",4,0,-4
"Від Колумбайна до Пермі: невмотивовані масові вбивства та їхні причини",8,4,-4
"Україна стартувала на Венеційському кінофестивалі із «Цензоркою»",12,8,-4
"«Потрібні запобіжники»: уповноважена з гендерної рівності про книгу «Щоб у 16 не було запізно»",4,0,-4
"Церква і освітяни домовились захищати «сімейні цінності» у школі. В чому тут небезпека?",4,1,-3
"Жінки у політиці: як змінювалося їхнє представництво у владі незалежної України",3,0,-3
"У МЗС розповіли, які питання обговорюватимуть на саміті перших леді та джентльменів",0,1,1
"«Жінка має бути видима в українській історії»: на полицях книгарень з’явиться видання про відомих жінок ХХ століття",5,1,-4
"Тисячі людей взяли участь у ЛГБТ-прайді в Будапешті",5,1,-4
"Олімпіада у Токіо переповнена скандалами та випадками, які викликають почуття сорому",4,0,-4
"Головне на ранок: відома дата візиту Зеленського до США, дипломати проти «Північного потоку-2» та Ліверпуль не в списку спадщини ЮНЕСКО",2,8,6
"Олена Костевич і Богдан Нікішин понесуть прапор України на відкритті Олімпіади",3,0,-3
"Євросоюз починає процедуру проти Польщі та Угорщини через порушення прав ЛГБТ",2,0,-2
"«Сі Бриз-2021» у жіночих обличчях",6,5,-1
"У ЄС і США розкритикували Угорщину за закон про заборону інформації про ЛГБТ в школах",10,0,-10
"Угорщина ухвалила закон про заборону інформації про ЛГБТ в школах",5,0,-5
"Президент Байден підсумував на пресконференції триденний саміт G7 – основні моменти",0,1,1
"У Грузії 15 партій підписали угоду на підтримку ЛГБТ-спільноти",3,0,-3
"10-а річниця Стамбульської конвенції: уряди закликали ратифікувати документ і зупинити насильство проти жінок",5,2,-3
"Міністр закордонних справ Люксембургу закликав Україну долучитися до Стамбульської конвенції",5,1,-4
"Глобальний індекс гендерного розриву: Україна втратила 15 позицій",1,1,0
"ЄС закликав Туреччину повернутися до Стамбульської конвенції",2,4,2
"Туреччина вийшла з договору про захист жінок від насильства",4,3,-1
"У партії «Слуга народу» повідомили, що запускають рух «Зе!Жінки»",1,2,1
"«У нас суспільство закритих чоловічих клубів» – блогерка Казанжи про «8 березня»",14,7,-7
"Киргизька мати кидає виклик нормам «патріархату», називаючи дітей не по-батькові, а по-матері",3,2,-1
"Чоловіки чи жінки: по кому найбільше вдарила пандемія COVID-19?",5,1,-4
"Генсекретар НАТО: Україні для вступу потрібні реформи",10,3,-7
"Спадщина Трампа: великі політичні зміни, які часто не помічали посеред галасу й скандалів",18,16,-2
"США та ЄС мають укласти нові угоди для євроатлантичних відносин – Шарль Мішель",3,6,3
"Сексизм у законі: у парламенті України хочуть дати визначення і призначити покарання",4,1,-3
"Без кричущих випадків, але безкарно. Ліхачов про напади ультраправих в Україні",5,3,-2
"З 1 січня головувати в ОБСЄ почала Швеція. Її представниця заявила, що конфлікт на Донбасі – серед головних тем",0,1,1
"Дві українські правозахисниці отримали премію МЗС Нідерландів",1,2,1
"Зґвалтування як метод катування: на окупованій частині Донбасу тисячі людей зазнали сексуального насильства",13,1,-12
"«Нам кажуть, що політика не для воїнів, але воїни є політиками» – боєць Правого сектору «Дана»",26,29,3
"Чому там лев із статевим органом, такий козак та архистратиг Михаїл у шкарпетках?",9,11,2
"Колишній міністр відкидає звинувачення в плагіаті в його дисертації",2,1,-1
"#ЖіночаСправа: мер Заліщиків Алла Квач – про спільне між політикою й стоматологією",18,16,-2
"#ЖіночаСправа: «Я можу купити собі сукню, не торгуючи мандатом» – депутатка з Херсона Юлія Єременко",11,2,-9
"«Перша аудієнція в членів королівської родини»: Зеленський зустрівся з герцогом і герцогинею Кембриджськими",2,3,1
"Що заважає батькам брати декретну відпустку і чим жертвують жінки, йдучи в декрет?",18,1,-17
"#ЖіночаСправа: Олена Ніжельська – про скасування виборів у Сєвєродонецьку, почуття небезпеки та поради «варити борщ»",9,3,-6
"#ЖіночаСправа: Тетяна Вачиля – голова Холмка, яка три роки боролася за створення ОТГ на Закарпатті",8,4,-4
"Чи є у політиці місце для жінок? Погляд депутатки та депутата",10,3,-7
"«Запоріжжя Прайд»: в оточені поліції та з затриманими",10,5,-5
"У Запоріжжі вперше відбувся ЛГБТ-прайд (фото)",4,2,-2
"#ЖіночаСправа: Ірина Ярмоленко – ексжурналістка, яка лобіювала Хартію гендерної рівності в Житомирі",12,4,-8
"Україна отримала офіційний статус учасниці «Партнерства Біарріц» – ОПУ",0,2,2
"Про ситуацію в Білорусі, паралелі з Майданом і війська в Криму: інтерв’ю з Еміне Джапаровою",20,18,-2
"Демократи США обіцяють підтримку територіальній цілісності та реформам в Україні – платформа партії",3,2,-1
"Білорусь може поховати міф про «триединый русский народ» (огляд преси)",7,6,-1
"«Слуги народу» vs ЛГБТ: для чого у монобільшості ініціюють «відповідальність за пропаганду гомосексуалізму і трансгендеризму»?",3,1,-2
"Віцеспікерка Кондратюк про відповідальність Зеленського, турборежим, закон про мову і сексизм у Раді",33,13,-20
"«Будь-який гей-прайд – це мішень». Як відбувався перший онлайн Марш рівності?",5,2,-3
"Раді пропонують зрівняти можливості матері й батька на догляд за дитиною",0,1,1
"ООН закликає Україну пришвидшити ратифікацію Стамбульської конвенції",3,1,-2
"«У мене в голові крутилась лише одна думка: хоч би мене не побили». Історія гея, якого шантажували через сексуальну орієнтацію",16,2,-14
"На сайті Зеленського петиція із закликом ратифікувати Стамбульську конвецію набрала необхідні голоси",2,2,0
"«Штраф за материнство» і навантаження на карантині – про виклики для матерів у День матері",17,1,-16
"Напад на трансгендера в Житомирі: чи карають за злочини ненависті?",5,0,-5
"Комітет Європарламенту закликав до підтримки жертв домашнього насильства",2,0,-2
"Радіо Свобода Daily: У Гаазі розпочинається судовий процес у справі MH17",5,9,4
"Феміністки та поборники «традиційних цінностей». Репортаж із Маршу жінок у Києві",19,2,-17
"Залучення жінок є ключовим фактором досягнення сталого миру – місія ОБСЄ в Україні",1,5,4
"«8 березня – це не про квіти»: у Запоріжжі вперше відбувся «Марш жінок»",2,0,-2
"У Киргизстані затримали учасників маршу за права жінок, на яких напали невідомі",1,0,-1
"Марш жінок і акція противників фемінізму відбулися в Києві",2,0,-2
"Зеленський привітав жінок, які «здійснюють подвиги щодня»",1,4,3
"Генсекретар ООН: гендерна рівність є найбільшим викликом у сфері прав людини",1,1,0
"Майже 90% людей у світі мають упереджене ставлення до жінок – дослідження ООН",2,3,1
"«Оскар-2020»: тріумф «Паразитів», провал «Ірландця» і Біллі Айліш",9,7,-2
"Будемо працювати для виконання норм Стамбульської конвенції – віцепрем’єр",1,0,-1
"Радіо Свобода Daily: Понад половина українців вважає, що вступ до НАТО – найкраща гарантія безпеки",8,5,-3
"2000 людей у світі багатші за 60% населення Землі: до чого тут нерівність статей і податок на майно",6,16,10
"Жінки у світі та в Україні. Навіщо Фінляндії жіночий уряд?",7,3,-4
"«Потім не дивуйся, сама винна». Жінки і чоловіки про фемінізм",5,0,-5
"Жінкам у світі потрібно 257 років, щоб досягти гендерного паритету в економіці – WEF",1,4,3
"Історії порушення прав людини в Запоріжжі зробили зупинками автобусного маршруту",9,12,3
"Від girl power до партнерства. Акценти Українського жіночого конгресу-2019",8,4,-4
"«Шрами»: історії насильства над жінками, які потрапили на сцену",17,3,-14
"Хто є хто в новій Європейській комісії?",3,5,2
"Фемінізм після #MeToo: у Києві стартує арт-лабораторія «Метаморфози»",3,1,-2
"«Чоловіки мають зробити одну дуже просту річ» – Кулеба про гендерну рівність",2,0,-2
"«Російський президент приїде до України і схилить голову перед монументом героям АТО» – віцепрем’єр Кулеба",25,42,17
"«Потім він писав, що я маю покаятися»: як розслідуються гомофобні напади в Україні",22,2,-20
"Реп про рівність, колискова про війну: 10 українських треків вересня",7,8,1
"Зеленський підписав указ про цілі сталого розвитку України до 2030 року",0,1,1
"«Креативний хаос»: що так і не так з гендерною політикою в Україні",2,0,-2
"​Міністр оборони про розведення військ, реформи в ЗСУ та знайомство із Зеленським і Коломойським",23,27,4
"Вікторія Нуланд про Україну, політику і баланс між роботою і особистим життям",5,2,-3
"29 липня – Всесвітній день екологічного боргу: людство вичерпало річний запас ресурсів",2,0,-2
"У Запоріжжі чиновник дав поради жінкам щодо одягу й поведінки, йому відповіли флешмобом",7,2,-5
"Депутатки VIII скликання. Якими ми їх запам’ятаємо?",0,2,2
"Правозахисники і влада США закликали Грузію гарантувати безпеку учасників акції ЛГБТ",5,0,-5
"Баланс у списках: скільки чоловіків і жінок висувають партії у Верховну Раду",5,3,-2
"Жінок у Раду: активісти закликають партії дотримуватися гендерних квот",11,3,-8
"Експерт ООН із питань ЛГБТ закликав владу України сприяти толерантності",7,1,-6
"Що має робити перша леді країни – приклади дружин президентів США і світу",1,4,3
"«Суто чоловічі» та «жіночі» професії: як боротися зі стереотипами?",6,3,-3
"«Вітаємо в пеклі»: навіщо потрібні конкурси краси в університетах",22,25,3
"В ООН заявили про тенденцію обмеження прав жінок у світі",5,2,-3
"«Треба карати чоловіків». Депутатки розповіли про дискримінацію жінок в Україні",8,13,5
"Найкращі держави для жінок: які місця посідає Україна в рейтингах?",3,1,-2
"Сім українських спортсменок-руйнівниць стереотипів про «тільки чоловічі» види спорту",22,6,-16
"Вітати чи не вітати? Як змінилось ставлення до Міжнародного дня жінок (огляд)",3,7,4
"Як українська курсантка була британською кадеткою",6,5,-1
"«Вчися, як дівчинка»: як в Україні створюють освіту без дискримінації",11,6,-5
"МЗС Франції заплатить штраф за недостатню кількість жінок на важливих посадах",1,0,-1
"В Індії третя жінка зайшла в індуїстський храм, попри протести",1,2,1
"Радіо Свобода Daily: Радник Порошенка назвав «маячнею» заяви про припинення оренди УПЦ (МП)",6,4,-2
"В Індії почалися протести після того, як жінки зайшли до індуїстського храму",1,2,1
"Гендер розбрату: Турчинов проти Левченко",6,11,5
"МЗС наступного року проведе гендерний аудит – Кислиця",1,0,-1
"В ЄС хочуть зміцнити підрозділ, що бореться із фейками",6,4,-2
"Спільнота ЛГБТІ: що змінилося за останні три роки та яка позиція МОЗ",3,4,1
"5 невирішених проблем ромських жінок із компактних поселень",2,0,-2
"Пожежниці і жінки-водолази: що змінилося за рік після скасування «заборонених професій»",3,1,-2
"#Я захищаю її: юристки розповідають про множинну дискримінацію жінок в Україні",1,1,0
"Конкурс «Міс Україна» дискримінує переможницю Дідусенко, решту учасниць і жінок загалом – Мельниченко",13,17,4
"Об’єднання протестантів: чи залишиться церква відокремленою від держави",3,1,-2
"Гібридне сміття і як його прибирати",2,4,2
"Міністерство закордонних справ першим в уряді приєдналося до руху за рівність HeForShe",1,0,-1
"В Єврокомісії вшанували пам’ять жертв нацизму та сталінізму",2,2,0
"У Запоріжжі засудили нападниць на учасниць «Фестивалю рівності» 2017 року",14,1,-13
"«Бути проти Росії зовсім не означає бути за Україну» (світова преса)",3,6,3
"Канада побачила прогрес України у гендерній політиці",0,3,3
"У Кривому Розі розпочався «молитовний марафон» проти маршу ЛГБТ",1,1,0
"Україна зробила крок уперед після Євромайдану – канадський міністр Марі-Клод Бібо",3,7,4
"З 1 липня в ЄС посилюють захист прав мандрівників",1,1,0
"Під Радою відбувся протест проти ЛГБТ і дій поліції на Марші рівності",2,0,-2
"У Києві починається «Марш рівності»",1,1,0
"У Дніпрі стартував всеукраїнський фестиваль блогерів",2,4,2
"Омбудсмен: публічна дискусія довкола Маршу рівності набуває загрозливої забарвленості",1,0,-1
"У день відкриття саміту G7 у світі проводять глобальну акцію #SaveOlegSentsov",4,5,1
"Лідери ЄС виступили проти повернення Росії до «Групи семи»",1,4,3
"Канада пов’язує повернення Росії до «Групи семи» з деокупацією Криму",1,2,1
"Трамп: Росія має брати участь у саміті «Групи семи»",2,4,2
"Чи достатньо у Верховній Раді жінок-депутатів?",4,0,-4
"Під офісом омбудсмена посварились прихильники та супротивники звільнення Філіпішиної",9,8,-1
"Уряд має активно протистояти дискримінації ЛГБТ – Покальчук",4,1,-3
"Що відбувається із ромськими поселеннями у Києві",15,7,-8
"Вартість свічок РПЦ обвалилася до історичного мінімуму: реакція соцмереж на заяву Порошенка про єдину помісну церкву",7,10,3
"Радіо Свобода Daily: Порошенко проситиме томос про Українську помісну автокефальну церкву",3,10,7
"Гендерна рівність потрібна не лише жінкам, але і чоловікам – експерти",3,4,1
"Обережно, міни! Скільки вибухонебезпечних знахідок приховує Донбас? – Ранковий ефір Радіо Свобода",0,1,1
"Зірвані плакати, заблоковані дискусії: наскільки безпечно в Україні говорити про права людини",2,2,0
"​Якщо ми не будемо враховувати гендерну рівність, у багато дверей ми просто не зайдемо – Чернишов",3,3,0
"Подорож до Антарктиди-2018: це остання річна експедиція, яка складається виключно з чоловіків",1,0,-1
"У Німеччині сформували «велику коаліцію» та домовилися про уряд",2,4,2
"Чому деякі феміністки України бойкотують марш «Годі терпіти»? (Світова преса)",5,4,-1
"У структурі МВС працюють понад 50 тисяч жінок – заступник міністра",0,8,8
"Гендерна нерівність: п’ять порушень прав жінок в Україні",9,5,-4
"Радіо Свобода Daily: анонімні свідчення представників командування «ПВК Вагнера»",5,3,-2
"Цьогорічний Docudays UA: Музикант Шуров долучився до руху ООН за рівні права",2,0,-2
"«Дорогі жіночки...». Сексизм, квіти і флешмоб до 8 березня (огляд соцмереж)",4,3,-1
"Робота як вибір: у Києві мітингували за декриміналізацію комерційного сексу",5,1,-4
"Розслідування злочинів ненависті щодо ЛГБТ в Україні залишається невирішеним – Муйжнієкс",8,1,-7
"Москаль: першою має попросити вибачення Супрун",4,3,-1
"Депутатське об’єднання щодо гендерної рівності засудило лайливі слова Москаля на адресу Супрун",6,3,-3
"«Втома від України» у Вашингтоні є безпідставною (світова преса) ",4,9,5
"Візочки – для дівчаток, машинки – для хлопчиків: яких тат хоче бачити українське суспільство?",16,7,-9
"Аваков заявив, що Дєєва працює його радником «на громадських засадах»",1,0,-1
"Роль жінок у зміцненні миру в Україні (дослідження)",2,12,10
"Непокараність злочинів в Україні – одне з найбільших занепокоєнь HRW",14,8,-6
"З фінансування інтернатів тільки 30% йде на дітей – Філіпішина ",4,0,-4
"Більшість клопотань жінок про помилування – від засуджених за вбивство свого кривдника – Левченко",11,10,-1
"У час кризи жінці ще складніше повідомляти про насильство – Дмитрієва",6,0,-6
"Україна і Канада: Фріланд у Києві говорить про зброю та українські інтереси",7,11,4
"Кількість дітей-жертв насильства може сягати мільйонів – Філіпішина",8,4,-4
"«Безвіз» Україні та летальна зброя від Канади як винагорода за подолання корупції – рекомендації комітету Палати громад",2,2,0
"Рада ухвалила за основу законопроект про рівність жінок і чоловіків у війську: що він змінює?",4,3,-1
"Брюссельський саміт повторив про «європейські прагнення» України, а Порошенко домігся «вишеньки на торті»",5,8,3
"У ЗСУ проходять військову службу і працюють понад 55 тисяч жінок – Полторак",2,3,1
"​Чого вимагають сучасні жінки?",5,4,-1
"«Головні дискримінатори» у 2017 році: мер Чернігова, ректор університету імені Драгоманова і Рада церков",7,3,-4
"У Нацполіції працюють майже 22% жінок – МВС",0,2,2
"Бізнес з нуля: переселенці з Донбасу вчать киян відкривати власні справи",2,3,1
"​ЄС повинен діяти у відповідь на кожну репресію в Криму – Ауштрявічус",12,2,-10
"Активісти вимагають визнати побиття учасниць «Фестивалю рівності» у Запоріжжі злочином на ґрунті ненависті",4,0,-4
"Права жінок: як держава може «полагодити» дискримінацію?",2,3,1
"«Жіночі» професії – ознака гендерної дискримінації – експерти",4,7,3
"Гендер є, а слова немає: чому жінки і чоловіки в Україні стикаються з дискримінацією?",5,3,-2
"Зірвали презентацію і зробили книжку Лариси Денисенко популярнішою разів у 100 (огляд соцмереж)",5,2,-3
"Журналістський матеріал Радіо Свобода став переможцем конкурсу на гендерну тематику",0,4,4
"В Одесі провели акції ЛГБТ-активісти й прихильники «християнських сімейних цінностей»",6,3,-3
"Попри стереотипи: жінки на військовому флоті",3,4,1
"На захист прайду. Сексуальні революції – індикатори соціальних перетворень",6,2,-4
"ЛГБТ-спільнота в окупації: напади, арешти та катування",6,3,-3
"Якщо це боротьба за права, то ми не повинні ховатися – Зорян Кісь",13,4,-9
"Чи зникне в Україні поділ на чоловічі та жіночі професії?",10,6,-4
"В останні роки гендерна політика України дуже нагадувала «голову професора Доуеля» – Марфа Скорик",2,3,1
"Швеція надала Україні 5 мільйонів євро на утвердження гендерної рівності – Кабмін",3,5,2
"Жінки Ірану дискримінуються на професійному рівні – HRW",3,3,0
"Розмаїття по-українськи. Підтримка національних культур і прояви гомофобії?",3,1,-2
"Травневі свята мають сенс, крім суто «картопляного» 2 травня – Магда",5,2,-3
"Пост-«безвіз»: чи залежить остаточне рішення ЄС від ухвалення нового Трудового кодексу?",11,5,-6
"«Безвіз» для Грузії вже діє. На черзі Україна",4,5,1
"Порошенко не підтримає Трудовий кодекс без антидискримінаційних норм – Цеголко",0,4,4
"«Жінки з України сексуальні, покірні й пробачають зраду» – скандал на телешоу в Італії",6,1,-5
"У Дніпрі з нагоди 8 березня провели акцію проти насильства щодо жінок",1,1,0
"Єврокомісія з нагоди 8 березня: жінки залишаються найбільш уразливими під час конфліктів",0,2,2
"Чи дискримінує Декларація прав дитини права батька?",9,1,-8
"Жіноча сила: за що українські феміністки вийдуть на марші 8 березня",11,0,-11
"В МЗС почали курс євроатлантичної інтеграції для посадовців",0,1,1
"Чи мають посадовці відповідати за свої дискримінаційні висловлювання?",7,3,-4
"У Вашингтоні противники Трампа побили вітрини і перевернули смітник",3,7,4
"Сотні тисяч людей збираються у Вашингтоні на інавгурацію Трампа",2,8,6
"Як відбуватиметься інавгурація Трампа",8,20,12
"Рожевий – для дівчаток? Дещо про гендерні стереотипи",13,0,-13
"В Україні сексизму нема?",6,6,0
"Любити і бути «ніким» одне одному. Як живуть одностатеві пари?",5,0,-5
"Підтримка незалежності України сьогодні така ж, як і 25 років тому",0,1,1
"Якого меморіалу бракує в Москві? ",21,6,-15
"Українські «скрепи» у Раді: закони про боротьбу з насиллям у сім’ї",4,2,-2
"Порошенко вніc до парламенту законопроект про запобігання насильству щодо жінок",1,1,0
"У Львові почався «Форум видавців», де обговорюють і книжки, і політику",2,2,0
"Виселивши ромів, жителі і влада Лощинівки відкрили «скриню Пандори» – Філіпішина",13,4,-9
"Дискримінація за етнічною ознакою неприпустима – офіс омбудсмена про події в Лощинівці",0,1,1
"Активістка за права жінок в Ірані розгорнула плакат на Олімпійських іграх",3,0,-3
"Складно говорити про насильство з боку тих, кого суспільство вважає героями – вірменська правозахисниця",13,2,-11
"День проти гомофобії: в України сумнівний прогрес",12,2,-10
"Санкції тим, хто заборонив Меджліс – Європарламент",13,1,-12
"Переслідування кримських татар Росією слід припинити негайно – єврокомісар",3,1,-2
"Комітет Ради з прав людини засуджує зрив фестивалю рівності у Львові",1,0,-1
"Здорового глузду від Путіна чекати не варто, тільки тиск, тільки санкції – депутат про звільнення Савченко",12,4,-8
"І прихильники, і супротивники 8 Березня не готові говорити про реальні проблеми жінок – експерт",4,2,-2
"Жінки в ЄС стикаються з насильством і недостатньо представлені у владі – єврокомісар",3,2,-1
"В ОБСЄ закликають активніше діяти для досягнення гендерної рівності",5,4,-1
"Жінки можуть стати новим обличчям сучасної України – Максимович",6,5,-1
"«Європеїзація» України: настає час демонструвати результати",2,1,-1
"Після реформ правової системи України потрібні результати – єврокомісар",1,0,-1
"Ліза Кузьменко про антидискримінаційну поправку: «толерантність виховується прикладом»",9,1,-8
"Депутати провалили «безвізовий» день. Останній шанс у вівторок",9,2,-7
"Рада ухвалила за основу перші 4 законопроекти з «безвізового» пакету",7,0,-7
"Рада в першому читанні ухвалила новий Трудовий кодекс",3,1,-2
"Чи карають в Україні гомофобів?",7,2,-5
"Жінки у політиці: для кого мода, для кого – панацея",8,3,-5
"Як прийняти сина-гея чи доньку-лесбійку?",13,0,-13
"Гройсман: 6-9 жовтня Рада розгляне законопроекти щодо лібералізації візового режиму",2,1,-1
"Сексизм проникає в соціальні мережі – правозахисники",8,3,-5
"Гендерні квоти: у політичній силі має бути не менше ніж 30% жінок",2,0,-2
"Нобелівський лауреат залишив посаду в університеті через свої слова про жінок",0,1,1
"«ЛГБТ на окупованій території пішли у підпілля» – правозахисник",8,6,-2
"Гармонія подружнього життя: «Щастя в 4 руки»",1,1,0
"Квоти для жінок у парламенті – рішення гендерних проблем?",4,1,-3
"Жінок необхідно залучати до ухвалення політичних рішень – посол Швеції",1,0,-1
"КПУ нарешті відійде у минуле і буде засуджена – Сінченко",14,13,-1
"У Дніпропетровську жінки провели акцію «проти свята тюльпанів та шоколаду»",4,1,-3
"ОБСЄ: роль жінки у запобіганні та врегулюванні конфліктів – неоціненна",2,6,4
"Французька дослідниця – про жіноче обличчя війни",9,1,-8
"Генсекретар ООН закликав до гендерної рівності і боротьби з насиллям над жінками",2,4,2
"Насильство щодо жінок в Україні переходить «у тінь» – представник омбудсмена",4,1,-3
"Як живуть новітні «діти війни»?",6,11,5
"В Україні є загроза повернення крайньої бідності – ПРООН",10,7,-3
"В Україні понад 560 тисяч внутрішніх переселенців – офіс омбудсмена",0,6,6
"Жінки-депутати більше не окраса, а дієва сила – експерт",4,3,-1
"Україна має розширити представництво жінок у політичному процесі – ОБСЄ",0,3,3
"У персоналу є 20 хвилин, щоб спустити лежачих дітей у підвали під час обстрілів – Філіпішина",4,1,-3
"Лутковська про звільнення Савченко, Росію та про банду, що катує людей",16,7,-9
"Українська льотчиця Надія Савченко. Дещо з біографії",3,3,0
"Жінки Дніпропетровська вимагають від МЗС тиснути на уряд Росії для звільнення Надії Савченко",2,0,-2
"Від гомофобії програє все суспільство – Шеремет",0,1,1
"Змова бездіяльності навколо заборони дискримінації ЛГБТ",6,7,1
"Грузинські жінки не хочуть, щоб їх перевіряли на незайманість",1,0,-1
"Інколи депутат «одягнутий» у бюджет цілого району – фотокореспондент",1,0,-1
"Успішності жінок заважають суспільні стереотипи?",0,1,1
"«Святкувати» боротьбу складно, тому я боротьбою займаюся – феміністка",0,1,1
"13% українських сімей ледве зводять кінці з кінцями – екс-заступник міністра",1,0,-1
"Чому жінок не пускають на «владну кухню»?",1,0,-1
"Чому в українській політиці так мало жінок?",1,0,-1
"Статева нерівність на робочому місці",0,1,1
"За ознакою статі. Гендерна рівність чи дискримінація?",0,1,1
"Гендерна рівність на роботі",0,1,1
"Політична відповідальність: непрості елементарні речі",2,1,-1
"Яка пенсійна реформа потрібна Україні?",1,0,-1
"Школярка з Каховки перемогла в Європі на конкурсі дитячого малюнку",1,0,-1
"Українці незадоволені дотриманням своїх конституційних прав",1,3,2
"На Азарова подали до суду за гендерну дискримінацію",3,2,-1
"В Україні гендерні проблеми опиняються поза увагою",0,1,1
